;Adelomyia melanogenys;Coeligena lutetiae;Eriocnemis luciani;Eriocnemis nigrivestis;Heliangelus strophianus;Metallura tyrianthina
Berberis pichinchensis;0;0;0;0;0;27
Capanea affinis;0;14;0;0;1;0
Disterigma alalternoides;0;0;0;1;0;62
Guzmania sp;16;0;0;2;0;0
Macleania rupestris;0;0;7;70;0;4
Thibaudia floribunda;0;0;0;0;0;11
