row.names;Coeligena lutetiae;Diglossopis cyanea;Diglossa lafresnayii;Eriocnemis luciani;Eriocnemis mosquera;Eriocnemis nigrivestis;Lafresnaya lafresnayi;Metallura tyrianthina
Bomarea lutea;3;0;0;0;0;0;0;1
Bromeliad3PF;0;0;1;0;1;4;0;24
Guzmania sp;0;0;0;54;6;1;0;0
Heppiella  sp;0;0;0;7;0;0;5;6
Macleania rupestris;0;0;0;0;0;0;0;15
Palicourea fuchsioides;1;0;0;5;0;53;0;7
Racinaea tetrantha;0;0;0;7;0;1;0;10
Thibaudia floribunda;0;4;0;0;0;6;0;28
