Year;Day;Month;Site;Season;Habitat;DegLev;Bird ID;Sex;Plant Family;Plant ID;Activity;Folder;Picture;Time
2015;21;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;;Bromeliaceae;Guzmania_sp;Feeding;150705AA;18432;11:07:20
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis nigrivestis;male;Bromeliaceae;Guzmania_sp;Feeding;150705AA;18634;11:10:42
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150705AA;19037;11:17:25
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150705AA;20874;11:48:02
2015;21;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150705AA;21166;11:52:54
2015;21;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;318;13:05:26
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;873;13:14:41
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;1880;13:31:28
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;3491;13:58:19
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;5334;14:29:02
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;8191;15:16:39
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis mosquera;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;9956;15:46:04
2015;21;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;11845;16:17:33
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;13183;16:39:51
2015;21;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150705AB;18042;18:00:50
2015;23;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150707AA;4345;7:12:33
2015;23;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150707AA;8545;8:22:45
2015;23;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150707AA;11011;9:03:51
2015;23;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis luciani;;Bromeliaceae;Guzmania_sp;Feeding;150707AA;12427;9:27:27
2015;23;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150707AA;14633;10:04:13
2015;23;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150707AA;20833;11:47:33
2015;23;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis mosquera;;Bromeliaceae;Guzmania_sp;Feeding;150707AB;1416;13:23:44
2015;23;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150707AB;1916;13:32:04
2015;23;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150707AB;3516;13:58:44
2015;23;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis mosquera;;Bromeliaceae;Guzmania_sp;Feeding;150707AB;6170;14:42:58
2015;23;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis mosquera;;Bromeliaceae;Guzmania_sp;Feeding;150707AB;7066;14:58:05
2015;23;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150707AB;8864;15:28:03
2015;23;7;Verdecocha;Dry;Forest_interior;0;Eriocnemis mosquera;;Bromeliaceae;Guzmania_sp;Feeding;150707AB;11368;16:09:47
2015;23;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150707AB;16629;15:37:28
2015;24;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;;Bromeliaceae;Guzmania_sp;Feeding;150708AA;13189;9:41:08
2015;24;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;;Bromeliaceae;Guzmania_sp;Feeding;150708AA;14316;9:59:55
2015;24;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;;Bromeliaceae;Guzmania_sp;Feeding;150708AA;15300;10:16:19
2015;24;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;;Bromeliaceae;Guzmania_sp;Feeding;150708AA;16765;10:40:44
2015;24;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;;Bromeliaceae;Guzmania_sp;Feeding;150708AA;17915;10:59:54
2015;24;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150708AA;19840;11:31:59
2015;25;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;Female;Bromeliaceae;Guzmania_sp;Feeding;150725AA;1638;6:27:26
2016;5;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160505AB;620-621;13:10:28
2016;5;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160505AB;3298;13:55:06
2016;5;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160505AB;5551-5552;14:32:41
2016;5;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160505AB;7862-7864;15:11:10
2016;5;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160505AB;11772-11774;16:16:20
2016;5;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160505AB;13744;16:49:12
2016;5;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160505AB;17409;17:50:17
2016;6;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160506AA;12797;9:33:25
2016;6;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160506AA;16744;10:39:12
2016;6;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160506AA;18876;11:14:44
2016;6;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160506AB;438;13:07:26
2016;6;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160506AB;4584;14:16:32
2016;6;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160506AB;7124;14:58:52
2016;6;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160506AB;12307;16:25:15
2016;6;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160506AB;17510;17:51:58
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160507AA;3514;6:58:42
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160507AA;7021;7:57:09
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160507AA;10146;8:49:14
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160507AA;14991;10:09:59
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160507AA;18200;11:03:28
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160507AA;20753;11:46:01
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160507AB;1434;13:24:02
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160507AB;2911;13:48:39
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160507AB;4705;14:18:33
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160507AB;7891;15:11:39
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160507AB;11298;16:08:26
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160507AB;14244;16:57:32
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160507AB;15971;17:26:19
2016;7;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160507AB;17546;17:52:34
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;5343;7:29:11
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;8665;8:24:33
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;12117;9:22:20
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;14029;9:54:12
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;18502;11:08:45
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;21106;11:52:09
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AB;2220;13:37:08
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AB;3644;14:00:52
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AB;7255;15:01:03
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160508AB;8695;15:25:03
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AB;9726;15:42:14
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AB;12097;16:21:58
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160508AB;14012;16:53:53
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Bromeliaceae;Guzmania_sp;Feeding;160508AB;15457;17:17:58
2016;8;5;Verdecocha;Wet;Forest_interior;0;Eriocnemis sp;juvenile;Bromeliaceae;Guzmania_sp;Feeding;160508AB;18033;18:00:54
