Year;Day;Month;Site;Season;Habitat;DegLev;Bird;Sex;Plant Family;Plant species;Activity;Folder;Picture;Time
2015;27;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150727AA;12254;9:24:57
2015;27;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150727AA;15399;10:17:22
2015;27;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150727AB;335;11:57:06
2015;27;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150727AC;931;13:15:39
2015;27;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150727AC;2172;13:36:20
2015;27;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150727AC;3028;13:50:36
2015;27;7;Yanacocha;Dry;Forest_Patch;3;Trochilidae;na;Rubiaceae;Palicourea amethystina;Feeding;150727AC;3736;14:02:24
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AA;1158;6:19:26
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AA;3433;6:57:21
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AA;5573;7:33:01
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AA;7495;8:05:03
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AA;9015;8:30:23
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AA;14610;10:07:45
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AA;17913;11:02:48
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AA;19627;11:31:22
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AC;704;13:11:52
2015;28;7;Yanacocha;Dry;Forest_Patch;3;Metallura tyrianthina;na;Rubiaceae;Palicourea amethystina;Feeding;150728AC;2671;13:44:39
2015;25;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151025AA;6163;7:42:52
2015;25;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151025AB;11;13:00:19
2015;25;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151025AB;15556;17:19:24
2015;26;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151026AB;3766;14:02:54
